date,store_id,item_id,qty_sold,price,stock_on_hand,lead_time_days,ordering_cost,unit_cost,holding_rate
2024-02-18,S1,I1,23,47,43,6,100,20,0.2
2024-02-19,S1,I1,27,43,89,4,100,20,0.2
2024-02-20,S1,I1,24,18,78,6,100,20,0.2
2024-02-21,S1,I1,27,29,78,5,100,20,0.2
2024-02-22,S1,I1,27,35,86,4,100,20,0.2
2024-02-23,S1,I1,28,41,90,5,100,20,0.2
2024-02-24,S1,I1,33,42,59,3,100,20,0.2
2024-02-25,S1,I1,32,10,30,5,100,20,0.2
2024-02-26,S1,I1,33,34,69,3,100,20,0.2
2024-02-27,S1,I1,27,16,35,3,100,20,0.2
2024-02-28,S1,I1,33,11,20,5,100,20,0.2
2024-02-29,S1,I1,29,46,51,4,100,20,0.2
2024-03-01,S1,I1,30,18,38,4,100,20,0.2
2024-03-02,S1,I1,27,33,73,2,100,20,0.2
2024-03-03,S1,I1,30,20,91,5,100,20,0.2
2024-03-04,S1,I1,28,49,44,6,100,20,0.2
2024-03-05,S1,I1,23,27,85,4,100,20,0.2
2024-03-06,S1,I1,29,45,52,5,100,20,0.2
2024-03-07,S1,I1,20,23,40,5,100,20,0.2
2024-03-08,S1,I1,27,17,26,4,100,20,0.2
2024-03-09,S1,I1,19,42,67,5,100,20,0.2
2024-03-10,S1,I1,20,31,41,6,100,20,0.2
2024-03-11,S1,I1,20,17,46,4,100,20,0.2
2024-03-12,S1,I1,18,30,49,2,100,20,0.2
2024-03-13,S1,I1,17,14,80,4,100,20,0.2
2024-03-14,S1,I1,19,44,83,2,100,20,0.2
2024-03-15,S1,I1,16,37,49,6,100,20,0.2
2024-03-16,S1,I1,20,15,56,6,100,20,0.2
2024-03-17,S1,I1,16,40,79,2,100,20,0.2
2024-03-18,S1,I1,19,30,51,2,100,20,0.2
2024-03-19,S1,I1,18,27,44,3,100,20,0.2
2024-03-20,S1,I1,21,12,65,3,100,20,0.2
2024-03-21,S1,I1,21,32,85,4,100,20,0.2
2024-03-22,S1,I1,25,11,36,2,100,20,0.2
2024-03-23,S1,I1,25,48,61,3,100,20,0.2
2024-03-24,S1,I1,19,34,43,6,100,20,0.2
2024-03-25,S1,I1,27,16,76,5,100,20,0.2
2024-03-26,S1,I1,21,10,27,5,100,20,0.2
2024-03-27,S1,I1,21,32,34,5,100,20,0.2
2024-03-28,S1,I1,21,11,51,4,100,20,0.2
2024-03-29,S1,I1,29,31,77,3,100,20,0.2
2024-03-30,S1,I1,26,15,34,4,100,20,0.2
2024-03-31,S1,I1,26,42,27,6,100,20,0.2
2024-04-01,S1,I1,27,48,87,6,100,20,0.2
2024-04-02,S1,I1,26,39,66,4,100,20,0.2
2024-04-03,S1,I1,30,49,71,6,100,20,0.2
2024-04-04,S1,I1,25,39,38,2,100,20,0.2
2024-04-05,S1,I1,32,28,77,3,100,20,0.2
2024-04-06,S1,I1,29,35,81,2,100,20,0.2
2024-04-07,S1,I1,29,10,77,3,100,20,0.2
2024-04-08,S1,I1,25,43,67,2,100,20,0.2
2024-04-09,S1,I1,32,10,35,6,100,20,0.2
2024-04-10,S1,I1,31,14,41,6,100,20,0.2
2024-04-11,S1,I1,31,12,95,3,100,20,0.2
2024-04-12,S1,I1,27,46,76,6,100,20,0.2
2024-04-13,S1,I1,29,39,81,5,100,20,0.2
2024-04-14,S1,I1,28,21,35,3,100,20,0.2
2024-04-15,S1,I1,33,30,58,5,100,20,0.2
2024-04-16,S1,I1,23,39,42,3,100,20,0.2
2024-04-17,S1,I1,32,14,53,5,100,20,0.2
2024-04-18,S1,I1,31,28,77,2,100,20,0.2
2024-04-19,S1,I1,28,14,23,3,100,20,0.2
2024-04-20,S1,I1,20,37,51,4,100,20,0.2
2024-04-21,S1,I1,23,33,31,3,100,20,0.2
2024-04-22,S1,I1,21,42,52,6,100,20,0.2
2024-04-23,S1,I1,20,46,31,4,100,20,0.2
2024-04-24,S1,I1,18,42,59,3,100,20,0.2
2024-04-25,S1,I1,18,44,27,6,100,20,0.2
2024-04-26,S1,I1,26,19,53,4,100,20,0.2
2024-04-27,S1,I1,24,16,87,3,100,20,0.2
2024-04-28,S1,I1,20,20,48,5,100,20,0.2
2024-04-29,S1,I1,24,30,55,3,100,20,0.2
2024-04-30,S1,I1,20,18,43,4,100,20,0.2
2024-05-01,S1,I1,16,44,55,3,100,20,0.2
2024-05-02,S1,I1,16,48,43,6,100,20,0.2
2024-05-03,S1,I1,16,22,42,2,100,20,0.2
2024-05-04,S1,I1,18,39,36,2,100,20,0.2
2024-05-05,S1,I1,19,34,32,4,100,20,0.2
2024-05-06,S1,I1,19,45,31,6,100,20,0.2
2024-05-07,S1,I1,25,28,95,2,100,20,0.2
2024-05-08,S1,I1,24,37,97,5,100,20,0.2
2024-05-09,S1,I1,20,25,88,4,100,20,0.2
2024-05-10,S1,I1,27,30,72,2,100,20,0.2
2024-05-11,S1,I1,26,48,33,3,100,20,0.2
2024-05-12,S1,I1,25,44,94,3,100,20,0.2
2024-05-13,S1,I1,29,19,77,5,100,20,0.2
2024-05-14,S1,I1,22,47,26,6,100,20,0.2
2024-05-15,S1,I1,30,18,69,4,100,20,0.2
2024-05-16,S1,I1,32,11,24,6,100,20,0.2
2024-05-17,S1,I1,28,47,27,6,100,20,0.2
2024-05-18,S1,I1,24,31,36,2,100,20,0.2
2024-05-19,S1,I1,28,45,89,5,100,20,0.2
2024-05-20,S1,I1,27,48,93,3,100,20,0.2
2024-05-21,S1,I1,27,48,86,6,100,20,0.2
2024-05-22,S1,I1,26,37,77,5,100,20,0.2
2024-05-23,S1,I1,32,48,20,4,100,20,0.2
2024-05-24,S1,I1,33,34,75,2,100,20,0.2
2024-05-25,S1,I1,30,15,77,5,100,20,0.2
2024-05-26,S1,I1,29,25,94,5,100,20,0.2
2024-05-27,S1,I1,29,45,38,5,100,20,0.2
2024-05-28,S1,I1,32,27,66,2,100,20,0.2
2024-05-29,S1,I1,24,23,34,2,100,20,0.2
2024-05-30,S1,I1,27,12,35,2,100,20,0.2
2024-05-31,S1,I1,32,41,35,5,100,20,0.2
2024-06-01,S1,I1,29,37,27,3,100,20,0.2
2024-06-02,S1,I1,24,35,27,3,100,20,0.2
2024-06-03,S1,I1,21,37,60,5,100,20,0.2
2024-06-04,S1,I1,25,26,92,2,100,20,0.2
2024-06-05,S1,I1,23,29,96,5,100,20,0.2
2024-06-06,S1,I1,20,15,88,2,100,20,0.2
2024-06-07,S1,I1,19,19,75,3,100,20,0.2
2024-06-08,S1,I1,21,42,84,3,100,20,0.2
2024-06-09,S1,I1,17,20,45,2,100,20,0.2
2024-06-10,S1,I1,21,36,68,6,100,20,0.2
2024-06-11,S1,I1,16,43,20,6,100,20,0.2
2024-06-12,S1,I1,22,15,88,6,100,20,0.2
2024-06-13,S1,I1,21,12,72,6,100,20,0.2
2024-06-14,S1,I1,20,46,93,3,100,20,0.2
2024-06-15,S1,I1,18,26,97,2,100,20,0.2
2024-06-16,S1,I1,16,22,23,2,100,20,0.2
2024-06-17,S1,I1,16,49,51,3,100,20,0.2
2024-06-18,S1,I1,23,48,45,3,100,20,0.2
2024-06-19,S1,I1,18,12,69,5,100,20,0.2
2024-06-20,S1,I1,17,14,76,2,100,20,0.2
2024-06-21,S1,I1,24,24,33,3,100,20,0.2
2024-06-22,S1,I1,20,48,57,5,100,20,0.2
2024-06-23,S1,I1,20,47,69,3,100,20,0.2
2024-06-24,S1,I1,21,39,98,4,100,20,0.2
2024-06-25,S1,I1,23,43,71,2,100,20,0.2
2024-06-26,S1,I1,26,42,98,5,100,20,0.2
2024-06-27,S1,I1,28,26,24,6,100,20,0.2
2024-06-28,S1,I1,26,19,75,2,100,20,0.2
2024-06-29,S1,I1,32,26,88,3,100,20,0.2
2024-06-30,S1,I1,29,11,96,4,100,20,0.2
2024-07-01,S1,I1,26,32,74,4,100,20,0.2
2024-07-02,S1,I1,30,25,27,5,100,20,0.2
2024-07-03,S1,I1,32,13,75,2,100,20,0.2
2024-07-04,S1,I1,27,41,86,4,100,20,0.2
2024-07-05,S1,I1,26,28,40,6,100,20,0.2
2024-07-06,S1,I1,26,37,61,6,100,20,0.2
2024-07-07,S1,I1,30,30,89,2,100,20,0.2
2024-07-08,S1,I1,29,21,65,3,100,20,0.2
2024-07-09,S1,I1,25,23,64,4,100,20,0.2
2024-07-10,S1,I1,33,35,66,2,100,20,0.2
2024-07-11,S1,I1,29,39,82,6,100,20,0.2
2024-07-12,S1,I1,24,35,55,2,100,20,0.2
2024-07-13,S1,I1,30,44,71,3,100,20,0.2
2024-07-14,S1,I1,29,23,21,6,100,20,0.2
2024-07-15,S1,I1,31,23,78,4,100,20,0.2
2024-07-16,S1,I1,27,12,42,4,100,20,0.2
2024-07-17,S1,I1,21,47,34,2,100,20,0.2
2024-07-18,S1,I1,26,46,47,3,100,20,0.2
2024-01-01,S1,I2,29,26,63,2,100,20,0.2
2024-01-02,S1,I2,21,22,44,5,100,20,0.2
2024-01-03,S1,I2,31,12,37,5,100,20,0.2
2024-01-04,S1,I2,28,43,27,2,100,20,0.2
2024-01-05,S1,I2,25,46,25,5,100,20,0.2
2024-01-06,S1,I2,33,43,78,4,100,20,0.2
2024-01-07,S1,I2,29,46,52,6,100,20,0.2
2024-01-08,S1,I2,30,30,89,5,100,20,0.2
2024-01-09,S1,I2,32,18,22,4,100,20,0.2
2024-01-10,S1,I2,32,46,55,3,100,20,0.2
2024-01-11,S1,I2,28,37,94,5,100,20,0.2
2024-01-12,S1,I2,30,39,70,2,100,20,0.2
2024-01-13,S1,I2,26,24,94,3,100,20,0.2
2024-01-14,S1,I2,27,14,89,3,100,20,0.2
2024-01-15,S1,I2,30,13,38,5,100,20,0.2
2024-01-16,S1,I2,25,29,31,2,100,20,0.2
2024-01-17,S1,I2,33,23,83,6,100,20,0.2
2024-01-18,S1,I2,27,22,22,2,100,20,0.2
2024-01-19,S1,I2,28,19,24,3,100,20,0.2
2024-01-20,S1,I2,24,22,59,3,100,20,0.2
2024-01-21,S1,I2,25,10,82,6,100,20,0.2
2024-01-22,S1,I2,29,26,28,4,100,20,0.2
2024-01-23,S1,I2,27,47,54,2,100,20,0.2
2024-01-24,S1,I2,24,23,94,2,100,20,0.2
2024-01-25,S1,I2,20,21,54,2,100,20,0.2
2024-01-26,S1,I2,25,31,79,6,100,20,0.2
2024-01-27,S1,I2,25,20,33,5,100,20,0.2
2024-01-28,S1,I2,19,30,56,6,100,20,0.2
2024-01-29,S1,I2,19,23,45,5,100,20,0.2
2024-01-30,S1,I2,24,34,37,4,100,20,0.2
2024-01-31,S1,I2,21,42,42,2,100,20,0.2
2024-02-01,S1,I2,24,26,85,6,100,20,0.2
2024-02-02,S1,I2,23,49,70,4,100,20,0.2
2024-02-03,S1,I2,21,15,86,4,100,20,0.2
2024-02-04,S1,I2,23,24,48,2,100,20,0.2
2024-02-05,S1,I2,19,39,46,5,100,20,0.2
2024-02-06,S1,I2,21,42,46,2,100,20,0.2
2024-02-07,S1,I2,19,31,85,3,100,20,0.2
2024-02-08,S1,I2,21,19,57,6,100,20,0.2
2024-02-09,S1,I2,20,33,71,6,100,20,0.2
2024-02-10,S1,I2,25,14,48,5,100,20,0.2
2024-02-11,S1,I2,19,36,55,5,100,20,0.2
2024-02-12,S1,I2,28,36,88,5,100,20,0.2
2024-02-13,S1,I2,29,49,57,3,100,20,0.2
2024-02-14,S1,I2,30,22,81,3,100,20,0.2
2024-02-15,S1,I2,29,42,79,4,100,20,0.2
2024-02-16,S1,I2,25,13,24,6,100,20,0.2
2024-02-17,S1,I2,30,37,50,3,100,20,0.2
2024-02-18,S1,I2,31,38,97,2,100,20,0.2
2024-02-19,S1,I2,29,20,42,2,100,20,0.2
2024-02-20,S1,I2,28,30,55,2,100,20,0.2
2024-02-21,S1,I2,25,49,34,6,100,20,0.2
2024-02-22,S1,I2,33,18,93,5,100,20,0.2
2024-02-23,S1,I2,33,35,60,4,100,20,0.2
2024-02-24,S1,I2,28,34,94,3,100,20,0.2
2024-02-25,S1,I2,31,27,53,4,100,20,0.2
2024-02-26,S1,I2,25,33,44,5,100,20,0.2
2024-02-27,S1,I2,30,33,52,2,100,20,0.2
2024-02-28,S1,I2,30,35,47,3,100,20,0.2
2024-02-29,S1,I2,29,16,68,5,100,20,0.2
2024-03-01,S1,I2,29,31,82,6,100,20,0.2
2024-03-02,S1,I2,31,16,20,6,100,20,0.2
2024-03-03,S1,I2,29,28,81,6,100,20,0.2
2024-03-04,S1,I2,23,38,49,4,100,20,0.2
2024-03-05,S1,I2,23,10,97,4,100,20,0.2
2024-03-06,S1,I2,22,11,57,4,100,20,0.2
2024-03-07,S1,I2,23,10,27,6,100,20,0.2
2024-03-08,S1,I2,26,48,22,3,100,20,0.2
2024-03-09,S1,I2,28,28,53,5,100,20,0.2
2024-03-10,S1,I2,18,32,74,5,100,20,0.2
2024-03-11,S1,I2,19,16,27,2,100,20,0.2
2024-03-12,S1,I2,25,12,78,6,100,20,0.2
2024-03-13,S1,I2,24,46,86,4,100,20,0.2
2024-03-14,S1,I2,16,37,27,3,100,20,0.2
2024-03-15,S1,I2,18,41,97,4,100,20,0.2
2024-03-16,S1,I2,19,46,73,6,100,20,0.2
2024-03-17,S1,I2,22,27,26,3,100,20,0.2
2024-03-18,S1,I2,22,42,42,6,100,20,0.2
2024-03-19,S1,I2,18,28,55,6,100,20,0.2
2024-03-20,S1,I2,17,11,20,6,100,20,0.2
2024-03-21,S1,I2,19,20,21,4,100,20,0.2
2024-03-22,S1,I2,22,21,39,6,100,20,0.2
2024-03-23,S1,I2,21,47,28,3,100,20,0.2
2024-03-24,S1,I2,21,44,43,2,100,20,0.2
2024-03-25,S1,I2,27,39,78,2,100,20,0.2
2024-03-26,S1,I2,19,26,33,2,100,20,0.2
2024-03-27,S1,I2,26,11,44,2,100,20,0.2
2024-03-28,S1,I2,25,31,23,3,100,20,0.2
2024-03-29,S1,I2,30,38,56,4,100,20,0.2
2024-03-30,S1,I2,26,27,61,5,100,20,0.2
2024-03-31,S1,I2,30,47,53,2,100,20,0.2
2024-04-01,S1,I2,27,34,95,6,100,20,0.2
2024-04-02,S1,I2,32,31,46,2,100,20,0.2
2024-04-03,S1,I2,29,36,59,3,100,20,0.2
2024-04-04,S1,I2,32,16,29,6,100,20,0.2
2024-04-05,S1,I2,25,35,81,3,100,20,0.2
2024-04-06,S1,I2,26,10,70,6,100,20,0.2
2024-04-07,S1,I2,28,35,48,6,100,20,0.2
2024-04-08,S1,I2,32,20,55,2,100,20,0.2
2024-04-09,S1,I2,31,49,73,3,100,20,0.2
2024-04-10,S1,I2,31,33,41,6,100,20,0.2
2024-04-11,S1,I2,32,42,55,5,100,20,0.2
2024-04-12,S1,I2,27,44,81,4,100,20,0.2
2024-04-13,S1,I2,26,18,45,3,100,20,0.2
2024-04-14,S1,I2,28,18,92,2,100,20,0.2
2024-04-15,S1,I2,24,34,80,4,100,20,0.2
2024-04-16,S1,I2,30,34,58,4,100,20,0.2
2024-04-17,S1,I2,25,46,63,4,100,20,0.2
2024-04-18,S1,I2,27,43,31,4,100,20,0.2
2024-04-19,S1,I2,25,26,93,2,100,20,0.2
2024-04-20,S1,I2,26,21,81,4,100,20,0.2
2024-04-21,S1,I2,27,40,40,2,100,20,0.2
2024-04-22,S1,I2,25,46,99,2,100,20,0.2
2024-04-23,S1,I2,19,34,31,4,100,20,0.2
2024-04-24,S1,I2,27,35,66,3,100,20,0.2
2024-04-25,S1,I2,23,26,42,3,100,20,0.2
2024-04-26,S1,I2,21,31,26,6,100,20,0.2
2024-04-27,S1,I2,22,18,67,3,100,20,0.2
2024-04-28,S1,I2,22,38,58,4,100,20,0.2
2024-04-29,S1,I2,17,48,36,4,100,20,0.2
2024-04-30,S1,I2,17,12,56,4,100,20,0.2
2024-05-01,S1,I2,23,35,74,5,100,20,0.2
2024-05-02,S1,I2,22,24,23,6,100,20,0.2
2024-05-03,S1,I2,21,34,32,3,100,20,0.2
2024-05-04,S1,I2,16,25,61,5,100,20,0.2
2024-05-05,S1,I2,17,44,61,3,100,20,0.2
2024-05-06,S1,I2,23,22,32,3,100,20,0.2
2024-05-07,S1,I2,19,48,65,5,100,20,0.2
2024-05-08,S1,I2,18,38,81,6,100,20,0.2
2024-05-09,S1,I2,26,25,75,5,100,20,0.2
2024-05-10,S1,I2,27,19,49,2,100,20,0.2
2024-05-11,S1,I2,26,29,24,2,100,20,0.2
2024-05-12,S1,I2,21,12,64,3,100,20,0.2
2024-05-13,S1,I2,24,27,81,6,100,20,0.2
2024-05-14,S1,I2,30,10,72,2,100,20,0.2
2024-05-15,S1,I2,23,33,87,5,100,20,0.2
2024-05-16,S1,I2,32,46,80,6,100,20,0.2
2024-05-17,S1,I2,29,48,75,4,100,20,0.2
2024-05-18,S1,I2,25,34,90,5,100,20,0.2
2024-05-19,S1,I2,28,17,39,6,100,20,0.2
2024-05-20,S1,I2,30,19,76,3,100,20,0.2
2024-05-21,S1,I2,33,12,25,6,100,20,0.2
2024-05-22,S1,I2,29,32,68,2,100,20,0.2
2024-05-23,S1,I2,27,29,80,4,100,20,0.2
2024-05-24,S1,I2,34,44,69,3,100,20,0.2
2024-05-25,S1,I2,25,33,22,4,100,20,0.2
2024-05-26,S1,I2,30,22,92,5,100,20,0.2
2024-05-27,S1,I2,29,43,30,2,100,20,0.2
2024-05-28,S1,I2,31,12,48,2,100,20,0.2
2024-05-29,S1,I2,26,34,95,3,100,20,0.2
2024-05-30,S1,I2,31,24,59,2,100,20,0.2
2024-05-31,S1,I2,27,20,78,3,100,20,0.2
2024-06-01,S1,I2,29,24,57,4,100,20,0.2
2024-06-02,S1,I2,25,35,37,6,100,20,0.2
2024-06-03,S1,I2,24,22,59,6,100,20,0.2
2024-06-04,S1,I2,22,12,75,3,100,20,0.2
2024-06-05,S1,I2,26,36,96,6,100,20,0.2
2024-06-06,S1,I2,18,15,38,5,100,20,0.2
2024-06-07,S1,I2,18,22,64,2,100,20,0.2
2024-06-08,S1,I2,21,45,82,4,100,20,0.2
2024-06-09,S1,I2,22,16,24,4,100,20,0.2
2024-06-10,S1,I2,25,40,42,3,100,20,0.2
2024-06-11,S1,I2,25,41,72,3,100,20,0.2
2024-06-12,S1,I2,19,11,97,6,100,20,0.2
2024-06-13,S1,I2,22,11,32,4,100,20,0.2
2024-06-14,S1,I2,16,26,79,6,100,20,0.2
2024-06-15,S1,I2,18,15,49,3,100,20,0.2
2024-06-16,S1,I2,24,41,82,5,100,20,0.2
2024-06-17,S1,I2,20,38,41,5,100,20,0.2
2024-06-18,S1,I2,19,41,87,4,100,20,0.2
2024-06-19,S1,I2,17,21,41,2,100,20,0.2
2024-06-20,S1,I2,26,10,41,3,100,20,0.2
2024-06-21,S1,I2,25,27,69,6,100,20,0.2
2024-06-22,S1,I2,21,44,71,6,100,20,0.2
2024-06-23,S1,I2,25,38,30,2,100,20,0.2
2024-06-24,S1,I2,25,24,51,4,100,20,0.2
2024-06-25,S1,I2,30,32,45,3,100,20,0.2
2024-06-26,S1,I2,22,38,23,2,100,20,0.2
2024-06-27,S1,I2,24,22,58,6,100,20,0.2
2024-06-28,S1,I2,26,41,21,5,100,20,0.2
2024-06-29,S1,I2,28,20,46,4,100,20,0.2
2024-06-30,S1,I2,24,37,40,6,100,20,0.2
2024-07-01,S1,I2,27,15,38,2,100,20,0.2
2024-07-02,S1,I2,29,12,20,3,100,20,0.2
2024-07-03,S1,I2,30,24,53,6,100,20,0.2
2024-07-04,S1,I2,27,34,43,5,100,20,0.2
2024-07-05,S1,I2,26,24,99,4,100,20,0.2
2024-07-06,S1,I2,32,34,36,6,100,20,0.2
2024-07-07,S1,I2,29,17,98,4,100,20,0.2
2024-07-08,S1,I2,26,16,22,6,100,20,0.2
2024-07-09,S1,I2,29,33,79,3,100,20,0.2
2024-07-10,S1,I2,27,29,65,2,100,20,0.2
2024-07-11,S1,I2,30,26,28,2,100,20,0.2
2024-07-12,S1,I2,29,11,91,4,100,20,0.2
2024-07-13,S1,I2,23,17,40,3,100,20,0.2
2024-07-14,S1,I2,24,40,57,4,100,20,0.2
2024-07-15,S1,I2,30,42,60,4,100,20,0.2
2024-07-16,S1,I2,26,33,60,2,100,20,0.2
2024-07-17,S1,I2,28,41,98,5,100,20,0.2
2024-07-18,S1,I2,23,42,93,3,100,20,0.2
2024-01-01,S1,I3,42,11,52,2,100,20,0.2
2024-01-02,S1,I3,42,22,45,3,100,20,0.2
2024-01-03,S1,I3,48,48,65,3,100,20,0.2
2024-01-04,S1,I3,45,24,63,2,100,20,0.2
2024-01-05,S1,I3,51,20,80,4,100,20,0.2
2024-01-06,S1,I3,50,18,25,2,100,20,0.2
2024-01-07,S1,I3,51,40,51,2,100,20,0.2
2024-01-08,S1,I3,47,21,27,3,100,20,0.2
2024-01-09,S1,I3,49,16,94,5,100,20,0.2
2024-01-10,S1,I3,49,15,77,3,100,20,0.2
2024-01-11,S1,I3,48,23,94,3,100,20,0.2
2024-01-12,S1,I3,51,21,31,6,100,20,0.2
2024-01-13,S1,I3,54,28,74,5,100,20,0.2
2024-01-14,S1,I3,53,38,72,4,100,20,0.2
2024-01-15,S1,I3,47,15,37,4,100,20,0.2
2024-01-16,S1,I3,51,46,75,2,100,20,0.2
2024-01-17,S1,I3,47,37,93,4,100,20,0.2
2024-01-18,S1,I3,47,38,73,2,100,20,0.2
2024-01-19,S1,I3,50,21,68,6,100,20,0.2
2024-01-20,S1,I3,53,33,39,6,100,20,0.2
2024-01-21,S1,I3,46,37,39,5,100,20,0.2
2024-01-22,S1,I3,49,41,55,3,100,20,0.2
2024-01-23,S1,I3,45,43,85,3,100,20,0.2
2024-01-24,S1,I3,44,15,58,3,100,20,0.2
2024-01-25,S1,I3,42,21,22,6,100,20,0.2
2024-01-26,S1,I3,40,49,40,2,100,20,0.2
2024-01-27,S1,I3,41,35,27,5,100,20,0.2
2024-01-28,S1,I3,44,23,97,3,100,20,0.2
2024-01-29,S1,I3,44,46,88,6,100,20,0.2
2024-01-30,S1,I3,45,23,21,2,100,20,0.2
2024-01-31,S1,I3,45,37,85,4,100,20,0.2
2024-02-01,S1,I3,41,14,84,5,100,20,0.2
2024-02-02,S1,I3,44,45,64,4,100,20,0.2
2024-02-03,S1,I3,46,12,33,3,100,20,0.2
2024-02-04,S1,I3,46,21,20,6,100,20,0.2
2024-02-05,S1,I3,40,17,62,5,100,20,0.2
2024-02-06,S1,I3,37,29,47,2,100,20,0.2
2024-02-07,S1,I3,41,46,95,6,100,20,0.2
2024-02-08,S1,I3,38,37,98,5,100,20,0.2
2024-02-09,S1,I3,41,23,21,2,100,20,0.2
2024-02-10,S1,I3,43,29,45,6,100,20,0.2
2024-02-11,S1,I3,39,44,89,6,100,20,0.2
2024-02-12,S1,I3,44,14,52,2,100,20,0.2
2024-02-13,S1,I3,43,23,31,3,100,20,0.2
2024-02-14,S1,I3,45,33,62,3,100,20,0.2
2024-02-15,S1,I3,50,38,76,4,100,20,0.2
2024-02-16,S1,I3,44,32,63,5,100,20,0.2
2024-02-17,S1,I3,50,25,69,3,100,20,0.2
2024-02-18,S1,I3,50,17,20,6,100,20,0.2
2024-02-19,S1,I3,50,14,66,3,100,20,0.2
2024-02-20,S1,I3,45,35,62,3,100,20,0.2
2024-02-21,S1,I3,47,27,36,3,100,20,0.2
2024-02-22,S1,I3,53,49,95,4,100,20,0.2
2024-02-23,S1,I3,53,34,65,5,100,20,0.2
2024-02-24,S1,I3,46,10,38,6,100,20,0.2
2024-02-25,S1,I3,50,35,81,5,100,20,0.2
2024-02-26,S1,I3,47,15,82,2,100,20,0.2
2024-02-27,S1,I3,46,34,67,6,100,20,0.2
2024-02-28,S1,I3,54,22,50,2,100,20,0.2
2024-02-29,S1,I3,49,43,23,4,100,20,0.2
2024-03-01,S1,I3,50,43,32,2,100,20,0.2
2024-03-02,S1,I3,51,28,94,2,100,20,0.2
2024-03-03,S1,I3,51,16,34,2,100,20,0.2
2024-03-04,S1,I3,53,16,34,6,100,20,0.2
2024-03-05,S1,I3,45,38,52,2,100,20,0.2
2024-03-06,S1,I3,42,44,63,3,100,20,0.2
2024-03-07,S1,I3,43,17,97,3,100,20,0.2
2024-03-08,S1,I3,42,18,22,6,100,20,0.2
2024-03-09,S1,I3,49,17,67,3,100,20,0.2
2024-03-10,S1,I3,44,37,45,2,100,20,0.2
2024-03-11,S1,I3,43,43,67,6,100,20,0.2
2024-03-12,S1,I3,41,24,62,3,100,20,0.2
2024-03-13,S1,I3,42,32,99,6,100,20,0.2
2024-03-14,S1,I3,45,45,94,4,100,20,0.2
2024-03-15,S1,I3,40,30,32,4,100,20,0.2
2024-03-16,S1,I3,38,23,87,6,100,20,0.2
2024-03-17,S1,I3,40,36,48,5,100,20,0.2
2024-03-18,S1,I3,39,17,35,3,100,20,0.2
2024-03-19,S1,I3,40,39,37,3,100,20,0.2
